Min X value: -8373.719
Min Y value: -7.141647
Min Z value: -8273.554
Max X value: 10380.38
Max Y value: 220.334
Max Z value: 10480.55
Key: charpos in X , Y , Z , Time since start capture
1043.066 , 51.10947 , 692.8281 , 0
1043.066 , 51.10947 , 692.8281 , 0.02
1043.066 , 51.10947 , 692.8281 , 0.04
1043.066 , 51.10947 , 692.8281 , 0.06
1043.066 , 51.10947 , 692.8281 , 0.08
1043.066 , 51.10947 , 692.8281 , 0.09999999
1043.066 , 51.10947 , 692.8281 , 0.12
1043.066 , 51.10947 , 692.8281 , 0.14
1043.066 , 51.10947 , 692.8281 , 0.16
1043.066 , 51.10947 , 692.8281 , 0.18
1043.066 , 51.10947 , 692.8281 , 0.2
1043.066 , 51.10947 , 692.8281 , 0.22
1043.066 , 51.10947 , 692.8281 , 0.24
1043.066 , 51.10947 , 692.8281 , 0.26
1043.066 , 51.10947 , 692.8281 , 0.28
1043.066 , 51.10947 , 692.8281 , 0.3
1043.066 , 51.10947 , 692.8281 , 0.32
1043.066 , 51.10947 , 692.8281 , 0.34
1043.066 , 51.10947 , 692.8281 , 0.36
1043.08 , 51.10934 , 692.8408 , 0.38
1043.102 , 51.10914 , 692.8594 , 0.4
1043.147 , 51.10871 , 692.8977 , 0.42
1043.212 , 51.10811 , 692.9373 , 0.44
1043.292 , 51.10736 , 692.9692 , 0.46
1043.388 , 51.10646 , 692.995 , 0.48
1043.516 , 51.10526 , 693.0052 , 0.5
1043.657 , 51.10394 , 693.0109 , 0.52
1043.813 , 51.10247 , 693.0172 , 0.54
1043.983 , 51.10088 , 693.0239 , 0.56
1044.182 , 51.09901 , 693.0162 , 0.58
1044.39 , 51.09706 , 692.9778 , 0.6
1044.608 , 51.09628 , 692.9105 , 0.62
1044.835 , 51.0971 , 692.8235 , 0.64
1045.088 , 51.09804 , 692.723 , 0.66
1045.352 , 51.09903 , 692.6177 , 0.68
1045.626 , 51.10006 , 692.5085 , 0.7
1045.905 , 51.10109 , 692.3976 , 0.72
1046.184 , 51.10213 , 692.2866 , 0.74
1046.463 , 51.10317 , 692.1757 , 0.76
1046.741 , 51.10421 , 692.0648 , 0.78
1047.02 , 51.09672 , 691.9539 , 0.8
1047.299 , 51.08872 , 691.8429 , 0.82
1047.578 , 51.07871 , 691.7319 , 0.84
1047.856 , 51.08024 , 691.621 , 0.86
1048.135 , 51.08178 , 691.5101 , 0.88
1048.414 , 51.08209 , 691.3991 , 0.9
1048.692 , 51.07998 , 691.2882 , 0.92
1048.971 , 51.07788 , 691.1772 , 0.94
1049.25 , 51.07577 , 691.0663 , 0.96
1049.529 , 51.07367 , 690.9554 , 0.98
1049.808 , 51.07156 , 690.8444 , 1
1050.086 , 51.06945 , 690.7335 , 1.02
1050.372 , 51.07563 , 690.6398 , 1.04
1050.661 , 51.08131 , 690.5558 , 1.06
